kappa,run,interval,wind_dispatched,wind_revenue
100,3,2,207.46389963700187,10373.194981850094
100,3,3,300.0,3189.5825283857575
100,3,4,300.0,8987.725286660145
100,3,5,300.0,7073.5214717480085
100,3,6,300.0,14430.179173969747
100,3,7,300.0,15300.784234445167
100,3,8,300.0,4222.000733019284
100,3,9,0.0,0.0
100,3,10,148.69078195538555,7434.539097769277
100,3,11,144.40644832638827,7220.322416319414
100,3,12,0.0,0.0
100,3,13,0.0,0.0
100,3,14,0.0,0.0
100,3,15,200.75844206582428,10037.922103291214
100,3,16,300.0,8306.212403109283
100,3,17,129.88977189090633,6494.488594545317
100,3,18,257.6399980613155,12881.999903065775
100,3,19,212.2391725111579,10611.958625557894
100,3,20,300.0,15077.589772978377
100,3,21,300.0,5639.556985081166
100,3,22,217.8950938771642,10894.754693858209
100,3,23,254.61528080665073,6892.885571853498
100,3,24,263.1436833609373,13157.184168046864
100,4,1,251.24019212067515,12562.009606033756
100,4,2,300.0,15385.792163087122
100,4,3,300.0,15651.542604098606
100,4,4,245.7006253764415,12285.031268822075
100,4,5,261.57995263038015,13078.997631519007
100,4,6,254.89888581382797,12744.9442906914
100,4,7,135.08453500644578,6754.226750322288
100,4,8,287.1263635617354,14356.318178086769
100,4,9,193.1907948968735,9659.539744843676
100,4,10,128.5176002621273,6425.880013106365
100,4,11,118.69858145564865,5934.929072782433
100,4,12,0.0,0.0
100,4,13,89.57589883572177,4478.794941786089
100,4,14,172.07394856900225,8603.697428450112
100,4,15,0.0,0.0
100,4,16,300.0,11314.49009399303
100,4,17,158.14850068442388,7907.425034221194
100,4,18,300.0,7012.467494813522
100,4,19,251.12920644002975,12556.460322001487
100,4,20,300.0,10594.357885433024
100,4,21,300.0,14151.536925103776
100,4,22,265.7609892413145,13288.049462065726
100,4,23,300.0,11429.992320434998
100,4,24,250.7790272171053,12538.951360855264
100,5,1,300.0,7613.1481925612425
100,5,2,300.0,4359.274925743264
100,5,3,300.0,15513.353357858245
100,5,4,250.7648253297648,12538.24126648824
100,5,5,240.9243984930274,12046.21992465137
100,5,6,300.0,7087.4515467406145
100,5,7,300.0,14590.951997592703
100,5,8,281.93493845931664,14096.746922965833
100,5,9,208.813151915449,10440.657595772449
100,5,10,0.0,0.0
100,5,11,0.0,0.0
100,5,12,0.0,0.0
100,5,13,158.76009721740172,7938.004860870086
100,5,14,0.0,0.0
100,5,15,212.00967300870138,10600.48365043507
100,5,16,294.50465241956493,14725.232620978246
100,5,17,137.24421130050052,6862.210565025026
100,5,18,300.0,9726.726917961005
100,5,19,223.202893890395,11160.14469451975
100,5,20,300.0,13402.578899122029
100,5,21,300.0,2732.7750872485813
100,5,22,254.3512433412842,12717.56216706421
100,5,23,300.0,15526.150676382109
100,5,24,253.9100272064701,12695.501360323504
100,6,1,234.02671646610713,11688.527457647677
100,6,2,300.0,7382.273278133069
100,6,3,300.0,11918.281934797316
100,6,4,300.0,9010.357343616295
100,6,5,300.0,7273.108814771573
100,6,6,300.0,15397.843270584366
100,6,7,300.0,11108.096247596526
100,6,8,11.373951571619955,568.6975785809977
100,6,9,246.57712158076504,12328.856079038253
100,6,10,0.0,0.0
100,6,11,0.0,0.0
100,6,12,0.0,0.0
100,6,13,0.0,0.0
100,6,14,153.76510803561825,7688.2554017809125
100,6,15,0.0,0.0
100,6,16,51.909552867781485,2595.4776433890743
100,6,17,139.60412667471542,6980.20633373577
100,6,18,300.0,15520.11074321711
100,6,19,300.0,2482.961408393645
100,6,20,249.71347150891245,12485.673575445622
100,6,21,300.0,6083.694109959102
100,6,22,252.17824338668902,10685.502584416105
100,6,23,300.0,14630.816365603812
100,6,24,258.9190012189247,9694.240791485554
100,7,1,256.7848095673886,12839.240478369431
100,7,2,263.2873946477779,5419.480361860459
100,7,3,300.0,15755.61277129246
100,7,4,300.0,15080.908557884652
100,7,5,300.0,14693.068033164365
100,7,6,229.76382577523168,11488.191288761584
100,7,7,141.42180053464062,7071.090026732031
100,7,8,26.34852910876998,1317.426455438499
100,7,9,210.92788768605624,10546.394384302812
100,7,10,156.7910171016057,7839.550855080284
100,7,11,0.0,0.0
100,7,12,117.64369912574944,5882.184956287472
100,7,13,0.0,0.0
100,7,14,0.0,0.0
100,7,15,0.0,0.0
100,7,16,269.21200462515395,13460.600231257698
100,7,17,161.07800926330174,8053.900463165087
100,7,18,255.08204714539272,6434.5429664163275
100,7,19,300.0,10531.55890004103
100,7,20,240.65969673930476,12032.984836965239
100,7,21,300.0,15281.688604904208
100,7,22,300.0,14150.999366708433
100,7,23,268.18517553325796,13409.258776662899
100,7,24,300.0,8305.051897791644
100,8,1,254.3358106210702,11192.47566665711
100,8,2,300.0,13763.101231721024
100,8,3,261.9787835161111,13098.939175805555
100,8,4,237.70014276886525,11885.007138443263
100,8,5,300.0,14652.3596897747
100,8,6,300.0,14228.463991344826
100,8,7,300.0,16028.34042341164
100,8,8,300.0,7455.294192180143
100,8,9,0.0,0.0
100,8,10,0.0,0.0
100,8,11,0.0,0.0
100,8,12,0.0,0.0
100,8,13,92.78608544597807,4639.304272298904
100,8,14,0.0,0.0
100,8,15,0.0,0.0
100,8,16,300.0,14333.469499667508
100,8,17,147.9998458242112,7399.99229121056
100,8,18,300.0,14261.494575153713
100,8,19,300.0,15115.760353882186
100,8,20,255.64514353778236,12782.257176889118
100,8,21,300.0,15393.064251431553
100,8,22,300.0,9307.958581039817
100,8,23,300.0,15547.177781812632
100,8,24,300.0,9163.964580651627
100,9,1,300.0,11205.348232551214
100,9,2,220.6391962332283,11031.959811661414
100,9,3,255.06099516548602,12753.049758274301
100,9,4,300.0,15324.818508401771
100,9,5,219.93733053446647,10996.866526723323
100,9,6,214.2445149807429,10712.225749037145
100,9,7,149.77610006150144,7488.805003075072
100,9,8,45.74095917246143,2287.0479586230713
100,9,9,0.0,0.0
100,9,10,0.0,0.0
100,9,11,0.0,0.0
100,9,12,125.81975974691659,6290.987987345829
100,9,13,121.48069095746166,6074.034547873083
100,9,14,0.0,0.0
100,9,15,0.0,0.0
100,9,16,62.93651158470868,3146.825579235434
100,9,17,181.55010842530544,9077.505421265272
100,9,18,251.4681611337611,12573.408056688055
100,9,19,252.29283574241276,12614.641787120638
100,9,20,253.0471341382604,4792.850820642885
100,9,21,260.4328774990406,10762.800343456656
100,9,22,300.0,15142.670567055988
100,9,23,300.0,15040.496690095122
100,9,24,289.0145241233183,13846.610184432468
100,10,1,300.0,14146.184881996447
