qu,run,t,dispatched_wind_MWh,wind_revenue_USD
20,8,6,197.561692,9878.084589
20,8,7,164.325653,8216.282661
20,8,8,77.313563,3865.67817
20,8,9,0.0,0.0
20,8,10,0.0,0.0
20,8,11,137.310987,6865.549361
20,8,12,98.659519,4932.975938
20,8,13,0.0,0.0
20,8,14,172.539953,8626.997647
20,8,15,228.237475,11411.873726
20,8,16,300.0,13551.204144
20,8,17,300.0,15342.08654
20,8,18,262.142112,12763.665876
20,8,19,300.0,15141.724081
20,8,20,300.0,14454.846851
20,8,21,300.0,14164.428235
20,8,22,300.0,14788.834759
20,8,23,185.251493,9262.574657
20,8,24,259.143817,12957.190873
20,9,1,244.157911,12207.895545
20,9,2,233.30455,11665.227517
20,9,3,300.0,15125.532923
20,9,4,270.44536,11134.992171
20,9,5,300.0,14891.354569
20,9,6,254.202619,12301.763319
20,9,7,300.0,14457.202313
20,9,8,300.0,14091.696754
20,9,9,0.0,0.0
20,9,10,154.167106,7708.355313
20,9,11,131.378767,6568.938334
20,9,12,0.0,0.0
20,9,13,0.0,0.0
20,9,14,0.0,0.0
20,9,15,0.0,0.0
20,9,16,273.015587,13650.779369
20,9,17,174.873804,8743.690194
20,9,18,300.0,13958.837376
20,9,19,300.0,15276.403812
20,9,20,248.446883,11078.514896
20,9,21,247.195193,12359.759653
20,9,22,300.0,15672.100932
20,9,23,300.0,15365.619537
20,9,24,224.941748,11247.087421
20,10,1,300.0,15127.980586
20,10,2,254.494178,12724.708916
20,10,3,300.0,14173.222237
20,10,4,271.542404,13577.120188
20,10,5,300.0,14660.480378
20,10,6,300.0,15013.403838
20,10,7,300.0,13916.770018
20,10,8,290.322748,14170.554263
20,10,9,215.300772,10765.038587
20,10,10,0.0,0.0
20,10,11,0.0,0.0
20,10,12,147.831622,7391.581103
20,10,13,100.902112,5045.105577
20,10,14,193.233793,9661.689635
20,10,15,216.132413,10806.620648
20,10,16,98.227985,4911.399256
20,10,17,166.066514,8303.32568
20,10,18,300.0,14455.436704
20,10,19,235.438561,11771.928068
20,10,20,300.0,16332.488326
20,10,21,300.0,15790.404744
20,10,22,241.455183,12072.759175
20,10,23,300.0,14243.756497
20,10,24,300.0,16284.975757
100,1,1,245.345282,8362.201285
100,1,2,300.0,15147.705388
100,1,3,300.0,15946.355732
100,1,4,300.0,2051.849573
100,1,5,255.230991,9630.477561
100,1,6,223.282934,9969.646881
100,1,7,300.0,13693.613574
100,1,8,46.640611,2332.030533
100,1,9,0.0,0.0
100,1,10,134.152792,6707.639589
100,1,11,0.0,0.0
100,1,12,58.630622,2931.531082
100,1,13,110.970805,5548.540246
100,1,14,163.718262,8185.913115
100,1,15,226.804371,10626.376798
100,1,16,49.747181,2487.359059
100,1,17,113.589562,5679.478094
100,1,18,300.0,15827.994906
100,1,19,230.151667,11507.583335
100,1,20,300.0,7530.093063
100,1,21,300.0,15413.03445
100,1,22,300.0,10660.144794
100,1,23,227.605688,11380.284411
100,1,24,255.824659,12791.232937
100,2,1,277.644617,13882.23086
100,2,2,300.0,11452.446478
100,2,3,275.335092,13026.157304
100,2,4,243.053825,11548.238081
100,2,5,239.447455,11972.372759
100,2,6,251.87292,12593.646001
100,2,7,146.618871,7330.943546
100,2,8,32.240493,1612.02463
100,2,9,0.0,0.0
100,2,10,162.000681,8100.034072
100,2,11,0.0,0.0
100,2,12,0.0,0.0
100,2,13,0.0,0.0
100,2,14,0.0,0.0
100,2,15,200.007346,10000.367323
100,2,16,286.579829,14328.991472
100,2,17,162.900671,5099.247042
100,2,18,300.0,11324.995761
100,2,19,300.0,13751.962053
100,2,20,300.0,12790.177831
100,2,21,274.588096,5237.833777
100,2,22,234.528249,11726.412458
100,2,23,300.0,5593.425344
100,2,24,248.445563,11237.332797
100,3,1,300.0,9517.258227
100,3,2,272.206865,10385.470442
100,3,3,300.0,10161.37923
100,3,4,300.0,10321.590892
100,3,5,300.0,14110.20514
100,3,6,300.0,15051.724052
100,3,7,300.0,10324.944591
100,3,8,272.729142,12303.894618
100,3,9,175.448821,8772.44106
100,3,10,153.883656,7694.182784
100,3,11,0.0,0.0
100,3,12,0.0,0.0
100,3,13,155.374206,7768.710287
100,3,14,172.675172,8633.758575
100,3,15,0.0,0.0
100,3,16,27.127639,1356.381955
100,3,17,300.0,12143.83124
100,3,18,300.0,16145.962538
100,3,19,252.938517,12646.925841
100,3,20,300.0,12677.485687
100,3,21,242.373624,12118.681195
100,3,22,300.0,6977.144386
100,3,23,300.0,15073.061789
100,3,24,300.0,11065.707288
100,4,1,300.0,13243.381117
100,4,2,300.0,8896.826502
100,4,3,300.0,7558.960281
100,4,4,300.0,15513.328489
100,4,5,232.826941,11641.34704
100,4,6,259.154915,12957.745739
100,4,7,164.732759,8236.637962
100,4,8,67.239693,3361.984672
100,4,9,207.348732,10367.436608
100,4,10,145.736621,7286.831034
100,4,11,0.0,0.0
100,4,12,88.115817,4405.790857
100,4,13,135.601776,6780.088793
100,4,14,126.961657,6348.082873
100,4,15,244.584305,12229.215261
100,4,16,295.663368,14783.168376
100,4,17,158.194651,7909.732537
100,4,18,300.0,11174.90999
100,4,19,300.0,10526.545373
100,4,20,216.110665,10805.533271
100,4,21,281.189149,6038.894371
100,4,22,300.0,15158.55014
100,4,23,256.192762,12809.638124
100,4,24,258.377613,12918.88067
100,5,1,213.58499,10679.249502
100,5,2,300.0,15198.051602
100,5,3,230.306862,11515.343091
100,5,4,300.0,15559.246091
100,5,5,300.0,15633.198637
100,5,6,300.0,16135.77117
100,5,7,300.0,13942.106231
100,5,8,276.626693,9219.854264
100,5,9,0.0,0.0
100,5,10,142.616184,7130.809175
100,5,11,0.0,0.0
100,5,12,94.10281,4705.140497
100,5,13,0.0,0.0
100,5,14,0.0,0.0
100,5,15,217.230065,10861.503252
100,5,16,300.0,8963.099031
100,5,17,145.939233,7296.961672
100,5,18,300.0,9767.978191
100,5,19,248.360682,9427.497349
100,5,20,236.548371,9647.87342
100,5,21,300.0,13781.989289
100,5,22,219.649636,10982.481813
100,5,23,300.0,14361.924983
100,5,24,300.0,11758.150904
100,6,1,300.0,5502.99826
100,6,2,256.374661,12818.733053
100,6,3,269.260604,11301.394585
100,6,4,300.0,9768.36719
100,6,5,300.0,13694.141461
100,6,6,233.128116,11656.405821
100,6,7,128.317456,6415.872807
100,6,8,16.245279,812.263963
100,6,9,199.570645,9978.532226
100,6,10,0.0,0.0
100,6,11,147.083864,7354.193185
100,6,12,101.910292,5095.514591
100,6,13,99.610807,4980.540355
100,6,14,0.0,0.0
100,6,15,0.0,0.0
100,6,16,300.0,16074.628177
